,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
104,practiqué,practicaste,practicó,practicamos,practicasteis,practicaron
105,nadé,nadaste,nadó,nadamos,nadasteis,nadaron
106,despedí,despediste,despidió,despedimos,despedisteis,despidieron
107,traduje,tradujiste,tradujo,tradujimos,tradujisteis,tradujeron
108,sonreí,sonreíste,sonrió,sonreímos,sonreísteis,sonrieron
109,mentí,mentiste,mintió,mentimos,mentisteis,mintieron
110,herí,heriste,hirió,herimos,heristeis,hirieron
111,usé,usaste,usó,usamos,usasteis,usaron
112,casé,casaste,casó,casamos,casasteis,casaron
113,sugerí,sugeriste,sugirió,sugerimos,sugeristeis,sugirieron
114,desayuné,desayunaste,desayunó,desayunamos,desayunasteis,desayunaron
115,ofrecí,ofreciste,ofreció,ofrecimos,ofrecisteis,ofrecieron
116,rompí,rompiste,rompió,rompimos,rompisteis,rompieron
117,hackeé,hackeaste,hackeó,hackeamos,hackeasteis,hackearon
118,devolví,devolviste,devolvió,devolvimos,devolvisteis,devolvieron
119,cubrí,cubriste,cubrió,cubrimos,cubristeis,cubrieron
120,olí,oliste,olió,olimos,olisteis,olieron
121,mantuve,mantuviste,mantuvo,mantuvimos,mantuvisteis,mantuvieron
122,mandé,mandaste,mandó,mandamos,mandasteis,mandaron
123,construí,construiste,construyó,construimos,construisteis,construyeron
124,nací,naciste,nació,nacimos,nacisteis,nacieron
125,comprendí,comprendiste,comprendió,comprendimos,comprendisteis,comprendieron
126,permití,permitiste,permitió,permitimos,permitisteis,permitieron
127,olvidé,olvidaste,olvidó,olvidamos,olvidasteis,olvidaron
128,abanderé,abanderaste,abanderó,abanderamos,abanderasteis,abanderaron
129,recomendé,recomendaste,recomendó,recomendamos,recomendasteis,recomendaron
130,asistí,asististe,asistió,asistimos,asististeis,asistieron
131,costé,costaste,costó,costamos,costasteis,costaron
132,envié,enviaste,envió,enviamos,enviasteis,enviaron
133,preparé,preparaste,preparó,preparamos,preparasteis,prepararon
134,cociné,cocinaste,cocinó,cocinamos,cocinasteis,cocinaron
135,compartí,compartiste,compartió,compartimos,compartisteis,compartieron
136,pregunté,preguntaste,preguntó,preguntamos,preguntasteis,preguntaron
137,cuidé,cuidaste,cuidó,cuidamos,cuidasteis,cuidaron
138,resolví,resolviste,resolvió,resolvimos,resolvisteis,resolvieron
139,callé,callaste,calló,callamos,callasteis,callaron
140,recogí,recogiste,recogió,recogimos,recogisteis,recogieron
141,mostré,mostraste,mostró,mostramos,mostrasteis,mostraron
142,helé,helaste,heló,helamos,helasteis,helaron
143,rogué,rogaste,rogó,rogamos,rogasteis,rogaron
144,crecí,creciste,creció,crecimos,crecisteis,crecieron
145,henchí,henchiste,hinchió,henchimos,henchisteis,hinchieron
146,habitué,habituaste,habituó,habituamos,habituasteis,habituaron
147,amé,amaste,amó,amamos,amasteis,amaron
148,soné,sonaste,sonó,sonamos,sonasteis,sonaron
149,escogí,escogiste,escogió,escogimos,escogisteis,escogieron
150,dolí,doliste,dolió,dolimos,dolisteis,dolieron
151,exigí,exigiste,exigió,exigimos,exigisteis,exigieron
152,entré,entraste,entró,entramos,entrasteis,entraron
153,volé,volaste,voló,volamos,volasteis,volaron
154,expliqué,explicaste,explicó,explicamos,explicasteis,explicaron
155,destruí,destruiste,destruyó,destruimos,destruisteis,destruyeron
156,navegué,navegaste,navegó,navegamos,navegasteis,navegaron
157,lloré,lloraste,lloró,lloramos,llorasteis,lloraron
158,valí,valiste,valió,valimos,valisteis,valieron
159,apagué,apagaste,apagó,apagamos,apagasteis,apagaron
160,probé,probaste,probó,probamos,probasteis,probaron
161,halagué,halagaste,halagó,halagamos,halagasteis,halagaron
162,manejé,manejaste,manejó,manejamos,manejasteis,manejaron
163,corté,cortaste,cortó,cortamos,cortasteis,cortaron
164,obtuve,obtuviste,obtuvo,obtuvimos,obtuvisteis,obtuvieron
165,gocé,gozaste,gozó,gozamos,gozasteis,gozaron
166,harté,hartaste,hartó,hartamos,hartasteis,hartaron
167,sufrí,sufriste,sufrió,sufrimos,sufristeis,sufrieron
168,incluí,incluiste,incluyó,incluimos,incluisteis,incluyeron
169,habilité,habilitaste,habilitó,habilitamos,habilitasteis,habilitaron
170,aburrí,aburriste,aburrió,aburrimos,aburristeis,aburrieron
171,habité,habitaste,habitó,habitamos,habitasteis,habitaron
172,eché,echaste,echó,echamos,echasteis,echaron
173,regresé,regresaste,regresó,regresamos,regresasteis,regresaron
174,corregí,corregiste,corrigió,corregimos,corregisteis,corrigieron
175,presté,prestaste,prestó,prestamos,prestasteis,prestaron
176,barrí,barriste,barrió,barrimos,barristeis,barrieron
177,hacendé,hacendaste,hacendó,hacendamos,hacendasteis,hacendaron
178,sequé,secaste,secó,secamos,secasteis,secaron
179,crucé,cruzaste,cruzó,cruzamos,cruzasteis,cruzaron
180,hinché,hinchaste,hinchó,hinchamos,hinchasteis,hincharon
181,hostigué,hostigaste,hostigó,hostigamos,hostigasteis,hostigaron
182,empaqué,empacaste,empacó,empacamos,empacasteis,empacaron
183,hospedé,hospedaste,hospedó,hospedamos,hospedasteis,hospedaron
184,cené,cenaste,cenó,cenamos,cenasteis,cenaron
185,defendí,defendiste,defendió,defendimos,defendisteis,defendieron
186,entregué,entregaste,entregó,entregamos,entregasteis,entregaron
187,sumergí,sumergiste,sumergió,sumergimos,sumergisteis,sumergieron
188,produje,produjiste,produjo,produjimos,produjisteis,produjeron
189,acabé,acabaste,acabó,acabamos,acabasteis,acabaron
190,organicé,organizaste,organizó,organizamos,organizasteis,organizaron
191,bajé,bajaste,bajó,bajamos,bajasteis,bajaron
192,solí,soliste,solió,solimos,solisteis,solieron
193,patiné,patinaste,patinó,patinamos,patinasteis,patinaron
194,colgué,colgaste,colgó,colgamos,colgasteis,colgaron
195,calenté,calentaste,calentó,calentamos,calentasteis,calentaron
196,hipnoticé,hipnotizaste,hipnotizó,hipnotizamos,hipnotizasteis,hipnotizaron
197,peiné,peinaste,peinó,peinamos,peinasteis,peinaron
198,tendí,tendiste,tendió,tendimos,tendisteis,tendieron
199,contesté,contestaste,contestó,contestamos,contestasteis,contestaron
200,encendí,encendiste,encendió,encendimos,encendisteis,encendieron
201,participé,participaste,participó,participamos,participasteis,participaron
202,haciné,hacinaste,hacinó,hacinamos,hacinasteis,hacinaron
203,quité,quitaste,quitó,quitamos,quitasteis,quitaron
204,heredé,heredaste,heredó,heredamos,heredasteis,heredaron
205,creé,creaste,creó,creamos,creasteis,crearon
206,discutí,discutiste,discutió,discutimos,discutisteis,discutieron
207,acepté,aceptaste,aceptó,aceptamos,aceptasteis,aceptaron
208,descubrí,descubriste,descubrió,descubrimos,descubristeis,descubrieron
209,gasté,gastaste,gastó,gastamos,gastasteis,gastaron
210,dirigí,dirigiste,dirigió,dirigimos,dirigisteis,dirigieron
211,abracé,abrazaste,abrazó,abrazamos,abrazasteis,abrazaron
212,yací,yaciste,yació,yacimos,yacisteis,yacieron
213,paré,paraste,paró,paramos,parasteis,pararon
214,obedecí,obedeciste,obedeció,obedecimos,obedecisteis,obedecieron
215,disfruté,disfrutaste,disfrutó,disfrutamos,disfrutasteis,disfrutaron
216,negué,negaste,negó,negamos,negasteis,negaron
217,interesé,interesaste,interesó,interesamos,interesasteis,interesaron
218,traté,trataste,trató,tratamos,tratasteis,trataron
219,protegí,protegiste,protegió,protegimos,protegisteis,protegieron
220,cumplí,cumpliste,cumplió,cumplimos,cumplisteis,cumplieron
221,abandoné,abandonaste,abandonó,abandonamos,abandonasteis,abandonaron
222,medí,mediste,midió,medimos,medisteis,midieron
223,nevé,nevaste,nevó,nevamos,nevasteis,nevaron
224,cansé,cansaste,cansó,cansamos,cansasteis,cansaron
225,sacudí,sacudiste,sacudió,sacudimos,sacudisteis,sacudieron
226,invertí,invertiste,invirtió,invertimos,invertisteis,invirtieron
227,me arrepentí,te arrepentiste,se arrepintió,nos arrepentimos,os arrepentisteis,se arrepintieron
228,fijé,fijaste,fijó,fijamos,fijasteis,fijaron
229,duché,duchaste,duchó,duchamos,duchasteis,ducharon
230,encanté,encantaste,encantó,encantamos,encantasteis,encantaron
231,firmé,firmaste,firmó,firmamos,firmasteis,firmaron
232,sofreí,sofreíste,sofrió,sofreímos,sofreísteis,sofrieron
233,besé,besaste,besó,besamos,besasteis,besaron
234,contribuí,contribuiste,contribuyó,contribuimos,contribuisteis,contribuyeron
235,mezclé,mezclaste,mezcló,mezclamos,mezclasteis,mezclaron
236,llené,llenaste,llenó,llenamos,llenasteis,llenaron
237,regué,regaste,regó,regamos,regasteis,regaron
238,bendije,bendijiste,bendijo,bendijimos,bendijisteis,bendijeron
239,acordé,acordaste,acordó,acordamos,acordasteis,acordaron
240,utilicé,utilizaste,utilizó,utilizamos,utilizasteis,utilizaron
241,reciclé,reciclaste,recicló,reciclamos,reciclasteis,reciclaron
242,ahorré,ahorraste,ahorró,ahorramos,ahorrasteis,ahorraron
243,respondí,respondiste,respondió,respondimos,respondisteis,respondieron
244,paseé,paseaste,paseó,paseamos,paseasteis,pasearon
245,poseí,poseíste,poseyó,poseímos,poseísteis,poseyeron
246,influí,influiste,influyó,influimos,influisteis,influyeron
247,malentendí,malentendiste,malentendió,malentendimos,malentendisteis,malentendieron
248,continué,continuaste,continuó,continuamos,continuasteis,continuaron
249,junté,juntaste,juntó,juntamos,juntasteis,juntaron
250,vaqué,vacaste,vacó,vacamos,vacasteis,vacaron
251,monté,montaste,montó,montamos,montasteis,montaron
252,torcí,torciste,torció,torcimos,torcisteis,torcieron
253,intenté,intentaste,intentó,intentamos,intentasteis,intentaron
254,supuse,supusiste,supuso,supusimos,supusisteis,supusieron
255,gradué,graduaste,graduó,graduamos,graduasteis,graduaron
256,merendé,merendaste,merendó,merendamos,merendasteis,merendaron
257,vencí,venciste,venció,vencimos,vencisteis,vencieron
258,partí,partiste,partió,partimos,partisteis,partieron
259,descansé,descansaste,descansó,descansamos,descansasteis,descansaron
260,atraje,atrajiste,atrajo,atrajimos,atrajisteis,atrajeron
261,establecí,estableciste,estableció,establecimos,establecisteis,establecieron
262,invité,invitaste,invitó,invitamos,invitasteis,invitaron
263,vertí,vertiste,vertió,vertimos,vertisteis,vertieron
264,ocurrí,ocurriste,ocurrió,ocurrimos,ocurristeis,ocurrieron
265,imprimí,imprimiste,imprimió,imprimimos,imprimisteis,imprimieron
266,buceé,buceaste,buceó,buceamos,buceasteis,bucearon
267,zafé,zafaste,zafó,zafamos,zafasteis,zafaron
268,abaniqué,abanicaste,abanicó,abanicamos,abanicasteis,abanicaron
269,reconocí,reconociste,reconoció,reconocimos,reconocisteis,reconocieron
270,grité,gritaste,gritó,gritamos,gritasteis,gritaron
271,convencí,convenciste,convenció,convencimos,convencisteis,convencieron
272,temí,temiste,temió,temimos,temisteis,temieron
273,satisfice,satisficiste,satisfizo,satisficimos,satisficisteis,satisficieron
274,maté,mataste,mató,matamos,matasteis,mataron
