,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
50,estudiara o estudiase,estudiaras o estudiases,estudiara o estudiase,estudiáramos o estudiásemos,estudiarais o estudiaseis,estudiaran o estudiasen
51,sentara o sentase,sentaras o sentases,sentara o sentase,sentáramos o sentásemos,sentarais o sentaseis,sentaran o sentasen
52,comenzara o comenzase,comenzaras o comenzases,comenzara o comenzase,comenzáramos o comenzásemos,comenzarais o comenzaseis,comenzaran o comenzasen
53,condujera o condujese,condujeras o condujeses,condujera o condujese,condujéramos o condujésemos,condujerais o condujeseis,condujeran o condujesen
54,fuera o fuese,fueras o fueses,fuera o fuese,fuéramos o fuésemos,fuerais o fueseis,fueran o fuesen
55,sacara o sacase,sacaras o sacases,sacara o sacase,sacáramos o sacásemos,sacarais o sacaseis,sacaran o sacasen
56,aprendiera o aprendiese,aprendieras o aprendieses,aprendiera o aprendiese,aprendiéramos o aprendiésemos,aprendierais o aprendieseis,aprendieran o aprendiesen
57,limpiara o limpiase,limpiaras o limpiases,limpiara o limpiase,limpiáramos o limpiásemos,limpiarais o limpiaseis,limpiaran o limpiasen
58,llamara o llamase,llamaras o llamases,llamara o llamase,llamáramos o llamásemos,llamarais o llamaseis,llamaran o llamasen
59,pagara o pagase,pagaras o pagases,pagara o pagase,pagáramos o pagásemos,pagarais o pagaseis,pagaran o pagasen
60,corriera o corriese,corrieras o corrieses,corriera o corriese,corriéramos o corriésemos,corrierais o corrieseis,corrieran o corriesen
61,bailara o bailase,bailaras o bailases,bailara o bailase,bailáramos o bailásemos,bailarais o bailaseis,bailaran o bailasen
62,terminara o terminase,terminaras o terminases,terminara o terminase,termináramos o terminásemos,terminarais o terminaseis,terminaran o terminasen
63,pasara o pasase,pasaras o pasases,pasara o pasase,pasáramos o pasásemos,pasarais o pasaseis,pasaran o pasasen
64,dejara o dejase,dejaras o dejases,dejara o dejase,dejáramos o dejásemos,dejarais o dejaseis,dejaran o dejasen
65,anduviera o anduviese,anduvieras o anduvieses,anduviera o anduviese,anduviéramos o anduviésemos,anduvierais o anduvieseis,anduvieran o anduviesen
66,entendiera o entendiese,entendieras o entendieses,entendiera o entendiese,entendiéramos o entendiésemos,entendierais o entendieseis,entendieran o entendiesen
67,vistiera o vistiese,vistieras o vistieses,vistiera o vistiese,vistiéramos o vistiésemos,vistierais o vistieseis,vistieran o vistiesen
68,visitara o visitase,visitaras o visitases,visitara o visitase,visitáramos o visitásemos,visitarais o visitaseis,visitaran o visitasen
69,almorzara o almorzase,almorzaras o almorzases,almorzara o almorzase,almorzáramos o almorzásemos,almorzarais o almorzaseis,almorzaran o almorzasen
70,lloviera o lloviese,llovieras o llovieses,lloviera o lloviese,lloviéramos o lloviésemos,llovierais o llovieseis,llovieran o lloviesen
71,divirtiera o divirtiese,divirtieras o divirtieses,divirtiera o divirtiese,divirtiéramos o divirtiésemos,divirtierais o divirtieseis,divirtieran o divirtiesen
72,consiguiera o consiguiese,consiguieras o consiguieses,consiguiera o consiguiese,consiguiéramos o consiguiésemos,consiguierais o consiguieseis,consiguieran o consiguiesen
73,repitiera o repitiese,repitieras o repitieses,repitiera o repitiese,repitiéramos o repitiésemos,repitierais o repitieseis,repitieran o repitiesen
74,caminara o caminase,caminaras o caminases,caminara o caminase,camináramos o caminásemos,caminarais o caminaseis,caminaran o caminasen
75,esperara o esperase,esperaras o esperases,esperara o esperase,esperáramos o esperásemos,esperarais o esperaseis,esperaran o esperasen
76,cambiara o cambiase,cambiaras o cambiases,cambiara o cambiase,cambiáramos o cambiásemos,cambiarais o cambiaseis,cambiaran o cambiasen
