,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
106,despedía,despedías,despedía,despedíamos,despedíais,despedían
107,traducía,traducías,traducía,traducíamos,traducíais,traducían
108,sonreía,sonreías,sonreía,sonreíamos,sonreíais,sonreían
109,mentía,mentías,mentía,mentíamos,mentíais,mentían
110,hería,herías,hería,heríamos,heríais,herían
111,usaba,usabas,usaba,usábamos,usabais,usaban
112,casaba,casabas,casaba,casábamos,casabais,casaban
113,sugería,sugerías,sugería,sugeríamos,sugeríais,sugerían
114,desayunaba,desayunabas,desayunaba,desayunábamos,desayunabais,desayunaban
115,ofrecía,ofrecías,ofrecía,ofrecíamos,ofrecíais,ofrecían
116,rompía,rompías,rompía,rompíamos,rompíais,rompían
117,hackeaba,hackeabas,hackeaba,hackeábamos,hackeabais,hackeaban
118,devolvía,devolvías,devolvía,devolvíamos,devolvíais,devolvían
119,cubría,cubrías,cubría,cubríamos,cubríais,cubrían
120,olía,olías,olía,olíamos,olíais,olían
121,mantenía,mantenías,mantenía,manteníamos,manteníais,mantenían
122,mandaba,mandabas,mandaba,mandábamos,mandabais,mandaban
123,construía,construías,construía,construíamos,construíais,construían
124,nacía,nacías,nacía,nacíamos,nacíais,nacían
125,comprendía,comprendías,comprendía,comprendíamos,comprendíais,comprendían
126,permitía,permitías,permitía,permitíamos,permitíais,permitían
127,olvidaba,olvidabas,olvidaba,olvidábamos,olvidabais,olvidaban
128,abanderaba,abanderabas,abanderaba,abanderábamos,abanderabais,abanderaban
129,recomendaba,recomendabas,recomendaba,recomendábamos,recomendabais,recomendaban
130,asistía,asistías,asistía,asistíamos,asistíais,asistían
131,costaba,costabas,costaba,costábamos,costabais,costaban
132,enviaba,enviabas,enviaba,enviábamos,enviabais,enviaban
133,preparaba,preparabas,preparaba,preparábamos,preparabais,preparaban
134,cocinaba,cocinabas,cocinaba,cocinábamos,cocinabais,cocinaban
135,compartía,compartías,compartía,compartíamos,compartíais,compartían
136,preguntaba,preguntabas,preguntaba,preguntábamos,preguntabais,preguntaban
137,cuidaba,cuidabas,cuidaba,cuidábamos,cuidabais,cuidaban
138,resolvía,resolvías,resolvía,resolvíamos,resolvíais,resolvían
139,callaba,callabas,callaba,callábamos,callabais,callaban
140,recogía,recogías,recogía,recogíamos,recogíais,recogían
141,mostraba,mostrabas,mostraba,mostrábamos,mostrabais,mostraban
142,helaba,helabas,helaba,helábamos,helabais,helaban
143,rogaba,rogabas,rogaba,rogábamos,rogabais,rogaban
144,crecía,crecías,crecía,crecíamos,crecíais,crecían
145,henchía,henchías,henchía,henchíamos,henchíais,henchían
146,habituaba,habituabas,habituaba,habituábamos,habituabais,habituaban
147,amaba,amabas,amaba,amábamos,amabais,amaban
148,sonaba,sonabas,sonaba,sonábamos,sonabais,sonaban
